ds,yhat,yhat_lower,yhat_upper
2014-01-01,16956.090423500875,7580.107239591864,25513.1815355335
2014-02-01,3734.630261215032,-4717.569748809952,12518.173838772156
2014-03-01,42557.73721387391,34333.464648584195,52129.66238776601
2014-04-01,26439.26073100237,17190.77297885879,35058.009642247605
2014-05-01,26643.082656941584,18742.461762244493,34945.0967960694
2014-06-01,27772.603239431402,18664.887786132585,37098.3324716641
2014-07-01,27547.146538773886,19179.67455699027,36710.31833693787
2014-08-01,31866.692650047597,22750.966752377575,40175.65310040709
2014-09-01,68461.9762905128,60194.567358972155,77102.86715127436
2014-10-01,36668.79724101424,28508.473089019502,45145.46555327852
2014-11-01,78435.29604284669,69425.80853045339,87139.09865445954
2014-12-01,69793.57812427185,61250.20400412584,79352.19223771794
2015-01-01,17863.044837159356,9490.803917730136,25993.82130597209
2015-02-01,13096.089587324794,4426.176778271279,22218.957147327066
2015-03-01,47137.56531008086,38522.21357760343,56259.21584232312
2015-04-01,32766.513540100015,23895.265956705793,41442.979519049535
2015-05-01,25302.103222298912,16370.873109957138,33680.43878290648
2015-06-01,30574.16350539997,22337.814088848663,39811.95542253013
2015-07-01,33070.89521783874,24609.344487373724,41694.48359651162
2015-08-01,40373.57280161553,31673.118747179764,48817.530165226766
2015-09-01,75927.25545887118,67800.48739816251,84791.95598287103
2015-10-01,34855.27330212368,25409.30538173412,42590.80239270343
2015-11-01,85261.29678579005,77189.11334617015,94522.49748523074
2015-12-01,73814.46914420149,65198.31818149701,81982.13059693913
2016-01-01,20141.19970487877,11097.093390464632,28988.68637325433
2016-02-01,24221.970244124153,15643.621115419926,33281.966149600055
2016-03-01,52813.73661635552,44218.05527889618,61216.67250513054
2016-04-01,33512.33565411696,25609.061945636768,42467.809086865476
2016-05-01,49671.232896632326,40925.52649076861,57851.5217731253
2016-06-01,43396.27323755416,34371.261032502385,52298.44632590735
2016-07-01,38165.99293549036,28733.184444601968,46398.27148146813
2016-08-01,36678.00657858656,27832.560495111924,44836.72095571459
2016-09-01,75248.89822686651,66557.57655479597,84566.31571260234
2016-10-01,62781.56326462924,54482.025721285434,71482.95523845925
2016-11-01,88722.67294667789,79605.84943082432,97520.92921066337
2016-12-01,86729.92288735823,77899.38315843965,95475.08818421619
2017-01-01,39983.39949061034,31153.643996171868,48629.017378776705
2017-02-01,18713.286698689248,10313.510853142236,27329.11393205864
2017-03-01,62532.5315109412,54049.81279404288,71307.9576877684
2017-04-01,45054.40918794643,35775.19203005426,53826.64364996649
2017-05-01,53409.57848045851,44984.905945179395,61450.48840925495
2017-06-01,50972.11547929929,42391.3304392219,60216.56532980748
2017-07-01,48443.1164659168,39812.539380920956,56693.737641347325
2017-08-01,50114.615093563916,41565.44353295558,58187.56645216759
2017-09-01,88000.34150438556,79194.51730143557,96394.70885426927
2017-10-01,66019.92278807517,58136.0866841497,75124.17152481384
2017-11-01,100051.53456905506,91851.83909647996,109169.60761124539
2017-12-01,94971.21640137704,85718.50015372032,103315.14056015109
2017-12-31,32512.76178402709,23979.736033691326,41055.519223664654
2018-01-31,53334.16302581543,44857.19480541075,62187.4932324827
2018-02-28,72434.09441233869,63864.76437069403,81627.50540417519
2018-03-31,63522.695609277485,54514.1881326645,71295.23786054972
2018-04-30,33971.97129573026,25782.06817249358,42012.64098541389
2018-05-31,52957.19514066093,43759.65647370726,61920.087078568016
2018-06-30,64014.18291390172,55017.07321932808,73056.54882776736
2018-07-31,80092.83430406339,71050.586717554,88865.9436103215
2018-08-31,111893.34688089488,103607.15493617827,120077.59271505794
2018-09-30,44199.805313984616,36348.739762205914,53000.172277770274
2018-10-31,119587.86456756157,111113.9897899301,128690.74500060917
2018-11-30,98169.61716699268,89211.85146725918,107034.12299725998
